T	<m>	d<m>
2.260	-0.568	0.111
2.260	-0.257	0.112
2.260	-0.677	0.090
2.260	0.662	0.116
2.260	0.689	0.094
2.260	0.565	0.101
2.260	0.680	0.100
2.260	0.568	0.107
2.260	0.421	0.115
2.260	-0.705	0.094
2.260	-0.550	0.120
2.260	-0.238	0.104
2.260	-0.564	0.111
2.260	-0.673	0.097
2.260	-0.261	0.101
2.260	-0.660	0.111
2.260	0.610	0.110
2.260	0.369	0.105
2.260	0.143	0.084
2.260	-0.629	0.102
2.260	0.226	0.114
2.260	-0.508	0.101
2.260	0.550	0.115
2.260	0.630	0.100
2.260	-0.335	0.100
2.260	-0.539	0.091
2.260	0.535	0.088
2.260	-0.318	0.089
2.260	-0.582	0.113
2.260	0.686	0.108
2.260	0.736	0.087
2.260	-0.531	0.112
2.260	-0.655	0.105
2.260	0.634	0.101
2.260	0.613	0.084
2.260	0.558	0.112
2.260	0.661	0.095
2.260	0.517	0.110
2.260	-0.421	0.104
2.260	-0.225	0.098
2.260	0.307	0.100
2.260	-0.724	0.093
2.260	0.510	0.108
2.260	-0.490	0.117
2.260	0.613	0.105
2.260	0.497	0.118
2.260	-0.424	0.102
2.260	0.091	0.078
2.260	-0.187	0.092
2.260	0.283	0.083
2.260	-0.643	0.101
2.260	-0.125	0.070
2.260	0.572	0.108
2.260	-0.337	0.108
2.260	0.269	0.126
2.260	0.722	0.089
2.260	0.620	0.117
2.260	0.608	0.106
2.260	0.507	0.105
2.260	-0.227	0.103
2.260	0.708	0.094
2.260	-0.681	0.107
2.260	-0.686	0.099
2.260	0.714	0.092
2.260	0.650	0.104
2.260	0.361	0.103
2.260	0.699	0.096
2.260	-0.659	0.105
2.260	0.588	0.117
2.260	0.576	0.113
2.260	-0.247	0.093
2.260	-0.634	0.105
2.260	-0.340	0.126
2.260	-0.587	0.099
2.260	-0.705	0.100
2.260	0.721	0.090
2.260	-0.643	0.104
2.260	-0.328	0.125
2.260	-0.518	0.096
2.260	0.524	0.091
2.260	0.090	0.086
2.260	-0.689	0.118
2.260	-0.641	0.099
2.260	-0.425	0.114
2.260	-0.585	0.104
2.260	-0.707	0.104
2.260	0.612	0.121
2.260	0.536	0.123
2.260	-0.356	0.111
2.260	-0.644	0.111
2.260	-0.755	0.094
2.260	0.631	0.103
2.260	0.563	0.099
2.260	0.585	0.092
2.260	0.539	0.110
2.260	0.432	0.109
2.260	-0.746	0.087
2.260	0.670	0.108
2.260	0.694	0.100
2.260	-0.563	0.101
2.260	-0.516	0.101
2.260	0.488	0.099
2.260	0.451	0.110
2.260	-0.266	0.085
2.260	-0.500	0.098
2.260	0.468	0.115
2.260	-0.602	0.101
2.260	-0.406	0.108
2.260	0.583	0.100
2.260	-0.606	0.096
2.260	0.673	0.109
2.260	0.678	0.107
2.260	-0.680	0.109
2.260	0.672	0.089
2.260	-0.555	0.092
2.260	0.550	0.111
2.260	-0.566	0.099
2.260	-0.435	0.101
2.260	0.635	0.116
2.260	0.483	0.124
2.260	-0.368	0.109
2.260	-0.667	0.102
2.260	0.562	0.108
2.260	0.264	0.104
2.260	0.594	0.102
2.260	-0.573	0.104
2.260	-0.719	0.092
2.260	-0.593	0.102
2.260	-0.538	0.105
2.260	-0.521	0.099
2.260	0.609	0.121
2.260	0.644	0.106
2.260	0.639	0.103
2.260	0.582	0.111
2.260	0.292	0.077
2.260	-0.503	0.115
2.260	0.494	0.122
2.260	0.083	0.099
2.260	-0.667	0.101
2.260	0.673	0.103
2.260	0.586	0.084
2.260	-0.564	0.097
2.260	0.445	0.119
2.260	0.497	0.106
2.260	0.679	0.090
2.260	-0.247	0.099
2.260	-0.494	0.122
2.260	0.617	0.112
2.260	0.627	0.115
2.260	0.599	0.112
2.260	-0.627	0.106
2.260	0.699	0.101
2.260	0.099	0.087
2.260	-0.602	0.107
2.260	0.369	0.117
2.260	0.522	0.120
2.260	0.615	0.095
2.260	0.439	0.110
2.260	-0.634	0.104
2.260	0.604	0.124
2.260	-0.524	0.106
2.260	-0.552	0.095
2.260	0.455	0.114
2.260	-0.661	0.108
2.260	0.711	0.107
2.260	-0.698	0.096
2.260	0.604	0.106
2.260	-0.378	0.124
2.260	0.655	0.097
2.260	-0.569	0.109
2.260	0.647	0.107
2.260	0.654	0.107
2.260	-0.370	0.090
2.260	-0.698	0.092
2.260	-0.243	0.086
2.260	-0.156	0.109
2.260	0.395	0.119
2.260	0.513	0.106
2.260	-0.646	0.100
2.260	-0.470	0.082
2.260	-0.224	0.093
2.260	0.699	0.111
2.260	-0.608	0.099
2.260	-0.410	0.089
2.260	0.540	0.112
2.260	-0.538	0.119
2.260	0.252	0.085
2.260	-0.530	0.106
2.260	-0.607	0.104
2.260	-0.292	0.092
2.260	-0.388	0.103
2.260	0.480	0.113
2.260	-0.583	0.117
2.260	-0.570	0.119
2.260	-0.588	0.100
2.260	-0.667	0.106
2.260	-0.259	0.098
2.260	0.356	0.101
2.260	0.644	0.113
2.260	-0.578	0.123
2.260	-0.655	0.102
2.260	0.701	0.101
2.260	-0.115	0.104
2.260	0.676	0.106
2.260	-0.515	0.113
2.260	-0.690	0.096
2.260	0.642	0.101
2.260	0.416	0.104
2.260	0.718	0.094
2.260	0.537	0.101
2.260	-0.097	0.073
2.260	0.642	0.095
2.260	-0.690	0.103
2.260	-0.549	0.108
2.260	-0.717	0.098
2.260	0.629	0.112
2.260	0.411	0.121
2.260	-0.364	0.100
2.260	0.645	0.113
2.260	-0.649	0.113
2.260	-0.493	0.122
2.260	-0.658	0.116
2.260	-0.675	0.099
2.260	-0.712	0.108
2.260	0.650	0.121
2.260	-0.672	0.092
2.260	-0.634	0.114
2.260	0.399	0.100
2.260	0.425	0.109
2.260	-0.389	0.099
2.260	-0.697	0.096
2.260	0.566	0.100
2.260	0.707	0.112
2.260	-0.639	0.103
2.260	0.715	0.103
2.260	-0.698	0.096
2.260	0.271	0.085
2.260	0.693	0.095
2.260	0.350	0.117
2.260	0.602	0.116
2.260	-0.451	0.126
2.260	-0.704	0.096
2.260	-0.614	0.106
2.260	0.462	0.107
2.260	-0.584	0.105
2.260	0.527	0.113
2.260	0.200	0.099
2.260	0.517	0.103
2.260	-0.311	0.097
2.260	-0.634	0.106
2.260	-0.625	0.093
2.260	-0.498	0.094
2.260	-0.601	0.118
2.260	0.600	0.106
2.260	0.474	0.102
2.260	-0.575	0.106
2.260	0.621	0.108
2.260	0.559	0.112
2.260	0.656	0.105
2.260	0.612	0.090
2.260	0.510	0.106
2.260	-0.717	0.098
2.260	0.647	0.114
2.260	0.460	0.110
2.260	0.720	0.098
2.260	0.560	0.116
2.260	0.275	0.103
2.260	0.687	0.111
2.260	0.332	0.116
2.260	0.620	0.099
2.260	0.579	0.108
2.260	0.582	0.116
2.260	-0.456	0.113
2.260	-0.466	0.109
2.260	-0.674	0.098
2.260	-0.671	0.108
2.260	0.656	0.101
2.260	-0.641	0.121
2.260	-0.371	0.103
2.260	0.375	0.116
2.260	0.584	0.106
2.260	-0.691	0.100
2.260	0.435	0.097
2.260	0.628	0.104
2.260	0.501	0.104
2.260	-0.440	0.109
2.260	-0.709	0.102
2.260	0.653	0.104
2.260	-0.696	0.097
2.260	0.278	0.099
2.260	-0.674	0.097
2.260	0.338	0.102
2.260	0.468	0.114
2.260	0.629	0.107
2.260	0.563	0.116
2.260	0.350	0.095
2.260	-0.687	0.109
2.260	-0.699	0.099
2.260	-0.478	0.099
2.260	0.260	0.091
2.260	0.525	0.113
2.260	0.468	0.112
2.260	0.560	0.099
2.260	-0.659	0.106
2.260	0.718	0.088
2.260	-0.372	0.099
2.260	-0.624	0.109
2.260	0.632	0.108
2.260	0.370	0.105
2.260	0.646	0.101
2.260	0.742	0.090
2.260	0.397	0.091
2.260	-0.560	0.112
2.260	0.595	0.104
2.260	0.677	0.107
2.260	-0.718	0.095
2.260	-0.618	0.112
2.260	0.603	0.112
2.260	-0.562	0.114
2.260	-0.662	0.094
2.260	-0.280	0.107
2.260	0.314	0.109
2.260	-0.578	0.114
2.260	0.657	0.106
2.260	-0.674	0.109
2.260	0.541	0.113
2.260	-0.621	0.101
2.260	-0.634	0.112
2.260	-0.395	0.118
2.260	-0.648	0.098
2.260	-0.672	0.104
2.260	0.685	0.102
2.260	0.644	0.105
2.260	-0.649	0.115
2.260	0.697	0.088
2.260	-0.074	0.075
2.260	0.523	0.096
2.260	-0.384	0.104
