T	<m>	d<m>
2.260	0.656	0.101
2.260	0.198	0.072
2.260	0.654	0.118
2.260	-0.480	0.115
2.260	-0.680	0.104
2.260	0.695	0.102
2.260	-0.529	0.118
2.260	-0.608	0.104
2.260	-0.716	0.099
2.260	0.256	0.131
2.260	0.720	0.094
2.260	-0.073	0.094
2.260	-0.666	0.097
2.260	-0.602	0.127
2.260	-0.653	0.110
2.260	0.283	0.086
2.260	0.686	0.100
2.260	-0.723	0.095
2.260	0.695	0.096
2.260	0.611	0.111
2.260	-0.707	0.093
2.260	-0.625	0.098
2.260	-0.645	0.107
2.260	0.649	0.110
2.260	-0.444	0.130
2.260	-0.727	0.098
2.260	-0.604	0.097
2.260	-0.367	0.085
2.260	0.375	0.120
2.260	-0.544	0.101
2.260	0.696	0.101
2.260	-0.450	0.097
2.260	-0.534	0.098
2.260	0.672	0.107
2.260	-0.623	0.115
2.260	0.361	0.117
2.260	-0.571	0.116
2.260	0.166	0.105
2.260	0.685	0.104
2.260	-0.651	0.116
2.260	-0.457	0.109
2.260	0.564	0.110
2.260	0.602	0.107
2.260	-0.668	0.103
2.260	0.639	0.099
2.260	0.619	0.113
2.260	-0.600	0.112
2.260	0.547	0.097
2.260	-0.605	0.090
2.260	-0.499	0.117
2.260	-0.477	0.107
2.260	-0.554	0.110
2.260	0.220	0.067
2.260	-0.642	0.095
2.260	0.726	0.099
2.260	0.635	0.095
2.260	0.628	0.118
2.260	-0.506	0.102
2.260	-0.165	0.123
2.260	-0.739	0.104
2.260	0.499	0.099
2.260	0.522	0.108
2.260	0.749	0.092
2.260	-0.589	0.105
2.260	0.674	0.103
2.260	0.647	0.091
2.260	0.567	0.106
2.260	-0.529	0.116
2.260	0.473	0.121
2.260	-0.495	0.116
2.260	0.541	0.111
2.260	0.411	0.112
2.260	-0.668	0.110
2.260	0.410	0.091
2.260	0.613	0.107
2.260	0.486	0.111
2.260	-0.295	0.075
2.260	0.691	0.102
2.260	0.539	0.107
2.260	0.503	0.114
2.260	-0.307	0.119
2.260	0.365	0.110
2.260	0.500	0.112
2.260	-0.489	0.115
2.260	0.436	0.112
2.260	0.607	0.110
2.260	0.699	0.097
2.260	0.287	0.104
2.260	-0.426	0.101
2.260	-0.681	0.123
2.260	-0.628	0.096
2.260	0.708	0.094
2.260	0.603	0.098
2.260	0.652	0.099
2.260	0.635	0.093
2.260	0.157	0.117
2.260	0.572	0.096
2.260	0.661	0.109
2.260	0.619	0.113
2.260	-0.614	0.109
2.260	0.572	0.110
2.260	0.208	0.084
2.260	0.201	0.100
2.260	-0.628	0.096
2.260	0.694	0.097
2.260	-0.539	0.121
2.260	-0.614	0.104
2.260	0.664	0.115
2.260	-0.551	0.086
2.260	-0.677	0.108
2.260	-0.692	0.099
2.260	0.694	0.111
2.260	-0.106	0.108
2.260	-0.725	0.097
2.260	0.588	0.116
2.260	-0.661	0.110
2.260	0.412	0.104
2.260	0.599	0.099
2.260	-0.535	0.104
2.260	-0.712	0.090
2.260	-0.614	0.111
2.260	0.417	0.111
2.260	0.619	0.109
2.260	0.729	0.098
2.260	-0.557	0.110
2.260	0.469	0.113
2.260	-0.572	0.103
2.260	0.653	0.096
2.260	0.594	0.086
2.260	0.400	0.102
2.260	0.375	0.127
2.260	-0.543	0.114
2.260	0.688	0.097
2.260	-0.657	0.107
2.260	-0.405	0.100
2.260	0.674	0.112
2.260	-0.369	0.113
2.260	0.602	0.100
2.260	-0.549	0.100
2.260	-0.628	0.097
2.260	0.698	0.098
2.260	-0.384	0.116
2.260	-0.605	0.101
2.260	-0.660	0.094
2.260	-0.598	0.108
2.260	-0.638	0.112
2.260	0.324	0.112
2.260	-0.383	0.110
2.260	0.460	0.108
2.260	-0.639	0.092
2.260	-0.564	0.098
2.260	0.522	0.118
2.260	-0.602	0.096
2.260	-0.537	0.125
2.260	-0.541	0.112
2.260	0.467	0.116
2.260	0.600	0.111
2.260	-0.562	0.108
2.260	0.680	0.095
2.260	-0.025	0.080
2.260	-0.629	0.116
2.260	0.050	0.091
2.260	0.640	0.107
2.260	0.492	0.104
2.260	-0.602	0.109
2.260	0.592	0.121
2.260	-0.576	0.109
2.260	-0.713	0.102
2.260	-0.399	0.081
2.260	0.705	0.100
2.260	0.582	0.102
2.260	-0.199	0.099
2.260	-0.540	0.121
2.260	-0.009	0.095
2.260	0.394	0.101
2.260	-0.285	0.106
2.260	0.612	0.104
2.260	0.457	0.111
2.260	0.624	0.106
2.260	-0.712	0.098
2.260	0.676	0.103
2.260	-0.615	0.119
2.260	0.636	0.107
2.260	0.307	0.066
2.260	0.120	0.107
2.260	0.273	0.104
2.260	-0.244	0.091
2.260	0.715	0.091
2.260	-0.616	0.124
2.260	-0.682	0.100
2.260	-0.633	0.091
2.260	-0.569	0.123
2.260	-0.556	0.110
2.260	-0.486	0.115
2.260	0.732	0.099
2.260	-0.455	0.110
2.260	-0.416	0.112
2.260	0.570	0.126
2.260	0.259	0.097
2.260	0.674	0.110
2.260	-0.535	0.101
2.260	-0.192	0.075
2.260	0.722	0.083
2.260	-0.581	0.102
2.260	0.664	0.102
2.260	0.739	0.091
2.260	-0.534	0.098
2.260	-0.560	0.099
2.260	-0.550	0.103
2.260	-0.609	0.105
2.260	0.410	0.104
2.260	0.662	0.100
2.260	0.698	0.099
2.260	0.585	0.096
2.260	-0.277	0.088
2.260	0.319	0.111
2.260	0.637	0.104
2.260	-0.534	0.103
2.260	-0.546	0.106
2.260	-0.571	0.107
2.260	-0.577	0.104
2.260	0.603	0.104
2.260	-0.619	0.100
2.260	-0.596	0.105
2.260	-0.428	0.115
2.260	0.482	0.116
2.260	-0.581	0.103
2.260	-0.695	0.103
2.260	-0.702	0.103
2.260	0.682	0.098
2.260	0.542	0.105
2.260	-0.650	0.114
2.260	0.556	0.113
2.260	0.590	0.104
2.260	-0.451	0.106
2.260	-0.695	0.099
2.260	0.520	0.105
2.260	-0.648	0.107
2.260	0.571	0.098
2.260	-0.380	0.119
2.260	-0.577	0.102
2.260	-0.674	0.100
2.260	0.600	0.098
2.260	0.424	0.129
2.260	-0.516	0.100
2.260	-0.654	0.114
2.260	0.734	0.095
2.260	0.700	0.110
2.260	0.498	0.111
2.260	0.529	0.103
2.260	0.657	0.108
2.260	-0.432	0.121
2.260	0.484	0.108
2.260	-0.646	0.115
2.260	-0.702	0.084
2.260	0.599	0.115
2.260	0.572	0.114
2.260	0.577	0.111
2.260	0.664	0.095
2.260	0.599	0.128
2.260	-0.687	0.094
2.260	0.707	0.112
2.260	0.157	0.084
2.260	0.429	0.096
2.260	0.523	0.105
2.260	-0.402	0.121
2.260	0.549	0.121
2.260	0.538	0.112
2.260	-0.682	0.105
2.260	-0.642	0.118
2.260	-0.517	0.106
2.260	-0.445	0.103
2.260	-0.681	0.097
2.260	-0.701	0.116
2.260	-0.707	0.099
2.260	0.642	0.110
2.260	-0.655	0.114
2.260	-0.587	0.115
2.260	-0.650	0.104
2.260	-0.466	0.093
2.260	0.478	0.107
2.260	0.568	0.118
2.260	0.665	0.110
2.260	-0.647	0.106
2.260	-0.518	0.098
2.260	-0.715	0.093
2.260	-0.739	0.095
2.260	-0.577	0.115
2.260	0.667	0.102
2.260	-0.619	0.087
2.260	-0.666	0.098
2.260	-0.489	0.107
2.260	0.627	0.109
2.260	0.504	0.098
2.260	0.598	0.093
2.260	-0.600	0.132
2.260	-0.706	0.101
2.260	0.671	0.094
2.260	-0.586	0.098
2.260	0.415	0.115
2.260	-0.649	0.089
2.260	0.541	0.097
2.260	-0.656	0.094
2.260	-0.644	0.092
2.260	0.145	0.095
2.260	-0.170	0.108
2.260	-0.649	0.091
2.260	0.684	0.101
2.260	0.654	0.101
2.260	-0.209	0.087
2.260	-0.694	0.102
2.260	0.661	0.104
2.260	0.615	0.096
2.260	0.467	0.111
2.260	-0.697	0.101
2.260	-0.669	0.099
2.260	-0.545	0.110
2.260	-0.698	0.107
2.260	-0.475	0.113
2.260	0.619	0.112
2.260	-0.641	0.101
2.260	0.687	0.105
2.260	0.751	0.089
2.260	0.544	0.099
2.260	0.352	0.116
2.260	-0.644	0.112
2.260	-0.520	0.099
2.260	-0.624	0.113
2.260	0.613	0.098
2.260	0.466	0.102
2.260	-0.707	0.101
2.260	0.133	0.077
2.260	0.586	0.104
2.260	0.567	0.104
2.260	-0.686	0.103
2.260	-0.492	0.103
2.260	0.656	0.113
2.260	-0.409	0.096
2.260	-0.708	0.098
2.260	-0.420	0.106
2.260	-0.595	0.111
2.260	0.668	0.096
2.260	0.637	0.110
2.260	-0.611	0.109
2.260	0.674	0.099
2.260	0.240	0.086
2.260	-0.633	0.103
2.260	-0.629	0.106
2.260	0.625	0.104
2.260	0.476	0.104
2.260	0.415	0.104
2.260	-0.220	0.099
2.260	0.659	0.109
2.260	-0.515	0.101
2.260	0.658	0.101
2.260	-0.533	0.104
2.260	0.653	0.106
2.260	0.646	0.109
2.260	0.157	0.074
2.260	0.311	0.105
2.260	0.625	0.130
2.260	-0.624	0.115
2.260	0.091	0.108
2.260	-0.517	0.092
2.260	-0.582	0.093
2.260	0.695	0.092
2.260	0.647	0.109
2.260	0.403	0.107
2.260	0.525	0.109
2.260	0.722	0.097
2.260	0.665	0.097
2.260	-0.663	0.104
2.260	0.371	0.109
2.260	0.699	0.088
2.260	0.645	0.105
2.260	-0.116	0.084
2.260	0.517	0.112
2.260	-0.620	0.099
2.260	0.627	0.100
2.260	0.648	0.102
2.260	-0.717	0.086
2.260	-0.280	0.099
2.260	0.129	0.070
2.260	0.144	0.107
2.260	-0.680	0.100
2.260	-0.498	0.110
2.260	-0.556	0.107
2.260	-0.476	0.084
2.260	-0.674	0.091
2.260	-0.029	0.093
2.260	0.400	0.098
2.260	-0.592	0.101
2.260	0.725	0.119
2.260	-0.572	0.113
2.260	0.722	0.103
2.260	0.619	0.104
2.260	-0.621	0.095
2.260	0.661	0.112
2.260	0.576	0.103
2.260	0.688	0.098
2.260	-0.519	0.118
2.260	0.305	0.104
2.260	-0.648	0.102
2.260	-0.624	0.103
2.260	-0.647	0.084
2.260	0.645	0.096
2.260	-0.732	0.096
2.260	0.665	0.095
2.260	-0.386	0.111
2.260	-0.690	0.105
2.260	-0.324	0.100
2.260	0.506	0.110
2.260	0.673	0.110
2.260	-0.602	0.117
2.260	-0.590	0.105
2.260	0.295	0.088
2.260	-0.067	0.094
2.260	0.506	0.116
2.260	-0.153	0.089
2.260	0.409	0.101
2.260	-0.523	0.099
2.260	0.595	0.101
2.260	0.688	0.097
2.260	0.716	0.092
2.260	-0.707	0.093
2.260	0.502	0.127
2.260	0.537	0.101
2.260	0.689	0.098
2.260	-0.186	0.102
2.260	0.690	0.106
2.260	-0.373	0.094
2.260	0.239	0.077
2.260	-0.318	0.102
2.260	-0.571	0.112
2.260	0.244	0.127
2.260	-0.675	0.104
2.260	0.488	0.122
2.260	-0.685	0.108
2.260	-0.642	0.104
2.260	-0.608	0.109
2.260	-0.740	0.092
2.260	0.670	0.091
2.260	0.009	0.074
2.260	0.029	0.072
2.260	-0.499	0.122
2.260	0.719	0.089
2.260	-0.219	0.124
2.260	-0.648	0.100
2.260	0.652	0.106
2.260	0.590	0.117
2.260	-0.638	0.106
2.260	-0.699	0.099
2.260	0.552	0.106
2.260	0.387	0.125
2.260	0.440	0.116
2.260	-0.699	0.101
2.260	0.576	0.106
2.260	0.637	0.112
2.260	0.608	0.102
2.260	-0.455	0.113
2.260	-0.524	0.113
2.260	-0.687	0.096
2.260	0.717	0.098
2.260	0.691	0.104
2.260	-0.693	0.102
2.260	-0.688	0.090
2.260	-0.573	0.105
2.260	0.218	0.074
2.260	0.640	0.101
2.260	-0.567	0.114
2.260	0.685	0.102
2.260	0.658	0.104
2.260	-0.712	0.095
2.260	-0.530	0.111
2.260	0.323	0.120
2.260	-0.675	0.106
2.260	-0.601	0.089
2.260	0.516	0.109
2.260	0.639	0.106
2.260	-0.534	0.096
2.260	-0.232	0.094
2.260	0.567	0.115
2.260	-0.670	0.096
2.260	-0.651	0.102
2.260	-0.645	0.100
2.260	0.446	0.080
2.260	-0.417	0.117
2.260	-0.472	0.118
2.260	0.613	0.114
2.260	0.585	0.107
2.260	0.602	0.116
2.260	0.639	0.099
2.260	-0.574	0.095
2.260	-0.702	0.097
2.260	-0.689	0.094
2.260	0.674	0.109
2.260	0.677	0.094
2.260	0.601	0.094
2.260	0.168	0.094
2.260	0.545	0.110
2.260	0.671	0.098
2.260	0.482	0.121
2.260	-0.592	0.116
2.260	-0.400	0.089
2.260	-0.552	0.109
2.260	0.644	0.109
2.260	-0.561	0.117
2.260	0.614	0.106
2.260	-0.602	0.098
2.260	0.689	0.099
2.260	0.716	0.102
2.260	-0.672	0.102
2.260	0.616	0.102
2.260	-0.659	0.090
2.260	0.729	0.101
2.260	0.597	0.110
2.260	0.456	0.115
2.260	-0.134	0.106
2.260	-0.573	0.110
2.260	0.485	0.107
2.260	0.548	0.119
2.260	0.697	0.114
2.260	-0.607	0.106
2.260	-0.607	0.109
2.260	-0.618	0.095
2.260	0.266	0.093
2.260	0.575	0.100
2.260	-0.656	0.103
2.260	-0.533	0.118
2.260	0.470	0.097
2.260	-0.622	0.117
2.260	-0.309	0.109
2.260	0.701	0.099
2.260	0.700	0.093
2.260	0.733	0.094
2.260	0.454	0.096
2.260	-0.430	0.101
2.260	-0.522	0.094
2.260	-0.652	0.107
2.260	0.389	0.105
2.260	-0.525	0.114
2.260	0.577	0.113
2.260	0.214	0.118
2.260	0.669	0.099
2.260	0.630	0.107
2.260	0.608	0.113
2.260	-0.644	0.088
2.260	-0.595	0.111
2.260	0.635	0.092
2.260	0.697	0.100
2.260	0.423	0.126
2.260	0.605	0.101
2.260	0.595	0.102
2.260	0.499	0.114
2.260	-0.336	0.093
2.260	-0.633	0.102
2.260	0.721	0.102
2.260	0.691	0.112
2.260	-0.691	0.096
2.260	-0.501	0.106
2.260	0.625	0.101
2.260	-0.547	0.105
2.260	0.714	0.096
2.260	0.698	0.095
2.260	0.514	0.109
2.260	0.686	0.087
2.260	0.608	0.085
2.260	0.544	0.106
2.260	-0.616	0.109
2.260	0.511	0.134
2.260	0.690	0.104
2.260	0.623	0.118
2.260	0.041	0.073
2.260	-0.741	0.089
2.260	0.512	0.111
2.260	0.558	0.106
2.260	0.691	0.090
2.260	0.502	0.110
2.260	-0.570	0.105
2.260	-0.511	0.112
2.260	-0.546	0.100
2.260	-0.359	0.108
2.260	-0.710	0.100
2.260	-0.724	0.096
2.260	0.560	0.106
2.260	0.586	0.108
2.260	0.584	0.099
2.260	-0.708	0.100
2.260	0.596	0.120
2.260	-0.634	0.100
2.260	0.046	0.100
2.260	-0.130	0.096
2.260	0.268	0.127
2.260	0.491	0.079
2.260	0.563	0.098
2.260	-0.664	0.093
2.260	-0.023	0.085
2.260	0.678	0.108
2.260	0.628	0.113
2.260	-0.354	0.116
2.260	-0.617	0.115
2.260	-0.519	0.099
2.260	-0.594	0.116
2.260	-0.579	0.111
2.260	-0.479	0.110
2.260	-0.632	0.095
2.260	0.574	0.104
2.260	-0.524	0.124
2.260	-0.471	0.104
2.260	0.624	0.112
2.260	0.525	0.103
2.260	-0.239	0.117
2.260	-0.141	0.079
2.260	0.612	0.110
2.260	0.154	0.085
2.260	-0.304	0.090
2.260	-0.676	0.108
2.260	-0.719	0.103
2.260	-0.667	0.096
2.260	0.288	0.115
2.260	0.011	0.074
2.260	0.507	0.093
2.260	0.673	0.088
2.260	-0.636	0.100
2.260	0.610	0.111
2.260	-0.576	0.096
2.260	-0.037	0.076
2.260	-0.490	0.127
2.260	0.632	0.103
2.260	0.411	0.106
2.260	0.670	0.101
2.260	0.250	0.106
2.260	-0.583	0.113
2.260	0.582	0.118
2.260	0.607	0.092
2.260	-0.376	0.096
2.260	-0.672	0.101
2.260	0.489	0.109
2.260	0.674	0.102
2.260	0.699	0.109
2.260	-0.699	0.091
2.260	0.305	0.094
2.260	0.704	0.095
2.260	-0.434	0.117
2.260	0.713	0.099
2.260	-0.453	0.111
2.260	-0.627	0.105
2.260	-0.615	0.116
2.260	0.526	0.114
2.260	0.370	0.115
2.260	0.713	0.099
2.260	0.688	0.097
2.260	0.606	0.112
2.260	0.632	0.112
2.260	-0.673	0.102
2.260	-0.237	0.096
2.260	0.658	0.100
2.260	0.690	0.103
2.260	0.329	0.104
2.260	-0.356	0.117
2.260	0.182	0.075
2.260	-0.648	0.103
2.260	0.626	0.098
2.260	-0.702	0.097
2.260	0.383	0.100
2.260	-0.672	0.109
2.260	0.480	0.103
2.260	0.624	0.095
2.260	0.669	0.108
2.260	-0.515	0.105
2.260	-0.570	0.106
2.260	0.601	0.113
2.260	-0.572	0.093
2.260	0.674	0.107
2.260	-0.681	0.101
2.260	-0.732	0.100
2.260	-0.680	0.098
2.260	0.723	0.088
2.260	0.242	0.122
2.260	0.518	0.122
2.260	-0.558	0.095
2.260	0.481	0.134
2.260	0.607	0.095
2.260	0.409	0.097
2.260	0.513	0.104
2.260	-0.383	0.123
2.260	-0.581	0.105
2.260	0.708	0.099
2.260	0.686	0.103
2.260	-0.547	0.110
2.260	-0.520	0.132
2.260	0.516	0.111
2.260	0.522	0.123
2.260	0.737	0.092
2.260	0.620	0.114
2.260	-0.646	0.108
2.260	-0.655	0.120
2.260	-0.593	0.093
2.260	0.722	0.089
2.260	0.680	0.112
2.260	0.190	0.106
2.260	-0.124	0.078
2.260	0.628	0.111
2.260	0.546	0.100
2.260	-0.424	0.127
2.260	-0.620	0.105
2.260	-0.607	0.108
2.260	-0.647	0.110
2.260	-0.709	0.100
2.260	0.557	0.089
2.260	0.467	0.096
2.260	-0.662	0.090
2.260	0.615	0.114
2.260	-0.726	0.088
2.260	0.616	0.119
2.260	0.562	0.100
2.260	-0.505	0.100
2.260	-0.599	0.115
2.260	-0.688	0.094
2.260	0.653	0.105
2.260	0.247	0.093
2.260	0.634	0.109
2.260	0.316	0.115
2.260	0.684	0.106
2.260	0.466	0.125
2.260	-0.567	0.099
2.260	0.597	0.105
2.260	-0.549	0.112
2.260	-0.618	0.115
2.260	0.672	0.110
2.260	0.212	0.104
2.260	-0.568	0.099
2.260	-0.720	0.096
2.260	0.194	0.092
2.260	-0.501	0.097
2.260	0.483	0.121
2.260	0.643	0.102
2.260	0.225	0.081
2.260	-0.660	0.102
2.260	-0.554	0.095
2.260	-0.160	0.076
2.260	-0.658	0.087
2.260	-0.529	0.107
2.260	0.330	0.099
2.260	-0.411	0.119
2.260	-0.559	0.105
2.260	0.645	0.117
2.260	0.447	0.092
2.260	0.570	0.103
2.260	0.520	0.104
2.260	-0.542	0.092
2.260	0.090	0.071
2.260	0.397	0.112
2.260	-0.631	0.113
2.260	-0.647	0.103
2.260	0.463	0.110
2.260	0.561	0.111
2.260	0.692	0.102
2.260	-0.232	0.099
2.260	0.580	0.111
2.260	0.565	0.099
2.260	0.707	0.106
2.260	-0.479	0.110
2.260	-0.567	0.122
2.260	0.628	0.120
2.260	-0.634	0.112
2.260	-0.536	0.106
2.260	0.413	0.108
2.260	0.526	0.108
2.260	0.604	0.104
2.260	-0.720	0.095
2.260	-0.316	0.095
2.260	-0.681	0.102
2.260	0.555	0.123
2.260	0.091	0.073
2.260	-0.520	0.100
2.260	-0.667	0.086
2.260	-0.602	0.106
2.260	0.318	0.069
2.260	0.676	0.092
2.260	-0.530	0.109
2.260	0.653	0.099
2.260	0.637	0.096
2.260	0.609	0.102
2.260	-0.180	0.101
2.260	0.627	0.111
2.260	-0.575	0.110
2.260	-0.637	0.101
2.260	0.455	0.112
2.260	0.596	0.109
2.260	-0.541	0.101
2.260	-0.562	0.103
2.260	0.453	0.095
2.260	0.580	0.109
2.260	-0.443	0.129
2.260	0.510	0.092
2.260	0.559	0.127
2.260	0.588	0.114
2.260	0.676	0.111
2.260	-0.603	0.096
2.260	0.501	0.114
2.260	0.484	0.104
2.260	0.650	0.105
2.260	0.614	0.108
2.260	-0.652	0.095
2.260	0.577	0.086
2.260	-0.595	0.119
2.260	-0.667	0.101
2.260	-0.552	0.107
2.260	-0.077	0.074
2.260	-0.695	0.113
2.260	-0.590	0.123
2.260	0.534	0.127
2.260	-0.124	0.106
2.260	-0.489	0.096
2.260	-0.686	0.097
2.260	0.654	0.115
2.260	-0.715	0.094
2.260	0.464	0.108
2.260	0.547	0.099
2.260	0.565	0.118
2.260	0.642	0.101
2.260	-0.470	0.100
2.260	-0.308	0.100
2.260	0.221	0.084
2.260	0.692	0.094
2.260	-0.714	0.099
2.260	0.500	0.113
2.260	0.337	0.106
2.260	-0.595	0.127
2.260	-0.629	0.104
2.260	-0.648	0.101
2.260	0.686	0.091
2.260	-0.318	0.119
2.260	-0.654	0.105
2.260	0.701	0.104
2.260	-0.382	0.090
2.260	-0.722	0.091
2.260	-0.045	0.078
2.260	0.464	0.115
2.260	-0.503	0.095
2.260	-0.651	0.099
2.260	-0.386	0.094
2.260	0.553	0.111
2.260	0.595	0.099
2.260	0.190	0.096
2.260	-0.716	0.087
2.260	0.615	0.102
2.260	0.291	0.110
2.260	0.579	0.111
2.260	-0.678	0.093
2.260	-0.328	0.105
2.260	0.488	0.109
2.260	-0.397	0.105
2.260	-0.681	0.092
2.260	-0.515	0.110
2.260	0.609	0.107
2.260	0.650	0.096
2.260	0.671	0.117
2.260	0.505	0.126
2.260	-0.075	0.090
2.260	-0.148	0.075
2.260	-0.598	0.110
2.260	0.749	0.102
2.260	-0.690	0.098
2.260	-0.718	0.104
2.260	0.566	0.123
2.260	-0.565	0.106
2.260	-0.479	0.103
2.260	-0.491	0.118
2.260	-0.243	0.079
2.260	-0.433	0.115
2.260	0.169	0.095
2.260	-0.662	0.100
2.260	0.233	0.079
2.260	0.624	0.097
2.260	-0.586	0.104
2.260	0.601	0.111
2.260	0.529	0.110
2.260	0.736	0.092
2.260	0.608	0.105
2.260	0.514	0.094
2.260	-0.548	0.096
2.260	0.657	0.108
2.260	0.630	0.092
2.260	0.513	0.089
2.260	0.068	0.109
2.260	-0.672	0.094
2.260	-0.611	0.098
2.260	-0.454	0.109
2.260	-0.220	0.094
2.260	-0.648	0.116
2.260	-0.616	0.099
2.260	-0.396	0.098
2.260	0.554	0.091
2.260	0.745	0.094
2.260	-0.732	0.097
2.260	-0.684	0.113
2.260	-0.586	0.109
2.260	-0.602	0.092
2.260	-0.301	0.078
2.260	-0.363	0.115
2.260	-0.639	0.094
2.260	0.500	0.102
2.260	-0.676	0.096
2.260	-0.437	0.114
2.260	-0.697	0.096
2.260	0.753	0.090
2.260	0.557	0.115
2.260	0.693	0.088
2.260	-0.486	0.095
2.260	0.647	0.111
2.260	0.637	0.106
2.260	0.516	0.091
2.260	0.632	0.103
2.260	-0.613	0.106
2.260	0.011	0.074
2.260	0.620	0.111
2.260	0.460	0.094
2.260	0.579	0.122
2.260	0.668	0.104
2.260	0.466	0.081
2.260	-0.690	0.101
2.260	-0.526	0.103
2.260	0.726	0.095
2.260	-0.579	0.114
2.260	-0.600	0.102
2.260	-0.600	0.107
2.260	-0.695	0.105
2.260	0.572	0.107
2.260	0.355	0.076
2.260	0.634	0.103
2.260	-0.233	0.080
2.260	-0.547	0.088
2.260	-0.719	0.100
2.260	-0.643	0.110
2.260	-0.464	0.103
2.260	-0.561	0.079
2.260	-0.659	0.098
2.260	-0.552	0.115
2.260	0.666	0.111
2.260	-0.651	0.086
2.260	-0.665	0.103
2.260	-0.641	0.105
2.260	0.585	0.116
2.260	0.708	0.096
2.260	-0.686	0.099
2.260	0.516	0.109
2.260	-0.655	0.088
2.260	-0.725	0.096
2.260	-0.628	0.113
2.260	0.597	0.116
2.260	-0.676	0.107
2.260	-0.708	0.106
2.260	0.635	0.106
2.260	0.416	0.095
2.260	-0.509	0.123
2.260	-0.546	0.105
2.260	-0.680	0.106
2.260	-0.715	0.095
2.260	-0.221	0.105
2.260	-0.647	0.099
2.260	0.686	0.100
2.260	0.631	0.107
2.260	0.022	0.078
2.260	-0.689	0.108
2.260	0.541	0.098
2.260	0.690	0.097
2.260	-0.610	0.095
2.260	0.673	0.114
2.260	-0.606	0.125
2.260	-0.477	0.098
2.260	0.579	0.108
2.260	0.712	0.106
2.260	-0.695	0.092
2.260	-0.307	0.085
2.260	0.670	0.102
2.260	0.524	0.113
2.260	0.594	0.098
2.260	0.552	0.109
2.260	0.599	0.121
2.260	-0.701	0.096
2.260	0.645	0.096
2.260	-0.703	0.094
2.260	-0.625	0.102
2.260	0.392	0.113
2.260	-0.671	0.091
2.260	0.690	0.097
2.260	-0.564	0.114
2.260	-0.578	0.119
2.260	0.417	0.116
2.260	-0.416	0.133
2.260	-0.417	0.087
2.260	-0.670	0.096
2.260	-0.623	0.111
2.260	-0.712	0.097
2.260	-0.482	0.090
2.260	-0.105	0.104
2.260	0.664	0.098
2.260	-0.591	0.108
2.260	-0.703	0.095
2.260	-0.626	0.109
2.260	-0.507	0.106
2.260	-0.629	0.115
2.260	-0.672	0.107
2.260	-0.657	0.105
2.260	0.701	0.113
2.260	-0.664	0.094
2.260	-0.614	0.108
2.260	0.558	0.121
2.260	-0.398	0.105
2.260	0.486	0.109
2.260	0.567	0.120
2.260	0.612	0.100
2.260	-0.475	0.101
2.260	-0.559	0.121
2.260	0.364	0.129
2.260	-0.464	0.100
2.260	0.483	0.098
2.260	-0.474	0.114
2.260	0.664	0.103
2.260	-0.667	0.099
2.260	0.592	0.116
2.260	0.193	0.102
2.260	-0.452	0.126
2.260	0.660	0.104
2.260	-0.650	0.109
2.260	-0.504	0.103
2.260	-0.411	0.088
2.260	0.645	0.111
2.260	-0.640	0.093
2.260	-0.603	0.110
2.260	0.537	0.098
2.260	-0.315	0.107
2.260	0.498	0.095
2.260	-0.487	0.121
2.260	0.717	0.100
2.260	0.713	0.099
2.260	-0.685	0.101
2.260	-0.707	0.101
2.260	-0.489	0.117
2.260	0.752	0.085
2.260	-0.368	0.096
2.260	-0.639	0.101
2.260	-0.579	0.118
2.260	0.669	0.089
2.260	0.706	0.088
2.260	0.667	0.105
2.260	0.701	0.093
2.260	-0.652	0.101
2.260	-0.632	0.096
2.260	-0.653	0.106
2.260	0.568	0.120
2.260	0.679	0.098
2.260	0.645	0.096
2.260	0.399	0.093
2.260	-0.589	0.105
2.260	0.551	0.104
2.260	-0.727	0.091
2.260	-0.631	0.104
2.260	0.706	0.089
2.260	0.487	0.108
2.260	-0.376	0.085
2.260	-0.662	0.106
2.260	-0.661	0.107
2.260	0.733	0.099
2.260	0.511	0.097
2.260	0.624	0.084
2.260	-0.661	0.100
2.260	-0.528	0.131
2.260	-0.248	0.115
2.260	-0.634	0.105
2.260	-0.278	0.088
2.260	-0.223	0.106
2.260	0.691	0.090
2.260	-0.727	0.092
2.260	0.696	0.090
2.260	0.587	0.108
2.260	-0.108	0.095
2.260	-0.537	0.102
2.260	-0.599	0.112
2.260	0.493	0.107
2.260	-0.640	0.111
2.260	-0.675	0.099
2.260	0.357	0.095
2.260	-0.630	0.117
2.260	0.486	0.121
2.260	-0.643	0.105
2.260	-0.309	0.114
2.260	0.561	0.097
2.260	0.248	0.090
2.260	0.574	0.113
2.260	-0.667	0.120
2.260	0.685	0.090
2.260	-0.602	0.104
2.260	-0.538	0.102
2.260	-0.688	0.100
2.260	-0.737	0.086
2.260	0.656	0.099
2.260	0.699	0.102
2.260	0.453	0.116
2.260	0.609	0.116
2.260	-0.520	0.113
2.260	-0.712	0.102
2.260	0.475	0.107
2.260	-0.689	0.106
2.260	-0.152	0.080
2.260	0.637	0.086
2.260	0.660	0.105
2.260	-0.690	0.088
2.260	0.646	0.098
2.260	0.261	0.091
2.260	0.511	0.111
2.260	0.705	0.086
2.260	0.706	0.123
2.260	0.502	0.117
2.260	0.238	0.128
2.260	0.375	0.107
2.260	0.657	0.095
